iter	RMSE
0	0.3890839981
1	0.3759365331
2	0.3647912497
3	0.3530112941
4	0.3415210965
5	0.3313201521
6	0.321193048
7	0.3114623421
8	0.3024989498
9	0.294164795
10	0.2856924277
11	0.2780128239
12	0.2708314796
13	0.2637520289
14	0.2567815134
15	0.2500660093
16	0.2433018109
17	0.2373410937
18	0.2319757883
19	0.2264972859
20	0.2215444541
21	0.2161952008
22	0.2122278618
23	0.2077661701
24	0.2036702473
25	0.199298447
26	0.1952336192
27	0.1915896799
28	0.188099554
29	0.1846484662
30	0.1813138167
31	0.178193551
32	0.1753642353
33	0.1724860218
34	0.1695766585
35	0.1667016602
36	0.1643175625
37	0.1621027067
38	0.1598682098
39	0.1579290095
40	0.1558417451
41	0.1539446258
42	0.1521954649
43	0.1502609394
44	0.1485187054
45	0.1471181023
46	0.1455773509
47	0.1439245633
48	0.1425142528
49	0.1411658005
50	0.139800798
51	0.1386262033
52	0.1377466869
53	0.1365100866
54	0.1353312625
55	0.1341635225
56	0.1330811801
57	0.1319655478
58	0.1310146927
59	0.1301358285
60	0.1291808965
61	0.1283177961
62	0.1275036908
63	0.1267577256
64	0.125940997
65	0.1250304649
66	0.1243730675
67	0.1237133557
68	0.1229739973
69	0.1222321112
70	0.1216079151
71	0.1208298559
72	0.1203276831
73	0.119686997
74	0.1190744031
75	0.1186249096
76	0.1178816836
77	0.1171158656
78	0.1165840936
79	0.1160665004
80	0.1153137675
81	0.1146998032
82	0.1141465711
83	0.113753432
84	0.1130891561
85	0.1125738997
86	0.1120040318
87	0.111409886
88	0.1109299137
89	0.1105064852
90	0.1100886363
91	0.1095736939
92	0.1090413176
93	0.1085581508
94	0.108245132
95	0.1078389025
96	0.1074073547
97	0.1070744166
98	0.1067334126
99	0.106352748
100	0.1059595794
101	0.1055758363
102	0.1051691783
103	0.1046777658
104	0.1043126227
105	0.1039760612
106	0.1035502865
107	0.103236978
108	0.1029235088
109	0.1025871419
110	0.102187616
111	0.1019019419
112	0.1016079008
113	0.1012774516
114	0.1009022408
115	0.1005507763
116	0.1002279283
117	0.09991527593
118	0.09963687082
119	0.09938899194
120	0.09910754759
121	0.09881700345
122	0.09859881066
123	0.09840466969
124	0.09818277409
125	0.09792500416
126	0.09778282066
127	0.09747448711
128	0.09722269097
129	0.09691543119
130	0.09667626918
131	0.09645633534
132	0.09608972324
133	0.09566358931
134	0.09538277126
135	0.0951678747
136	0.09481268075
137	0.09459153469
138	0.09437000187
139	0.09418411492
140	0.09397312597
141	0.09373910665
142	0.09351358865
143	0.09336227169
144	0.09311726308
145	0.09296201019
146	0.09278966183
147	0.09256143067
148	0.09232415829
149	0.09213505485
150	0.0918761243
151	0.09154314309
152	0.09133107561
153	0.09115420334
154	0.09100675783
155	0.09071058755
156	0.09053413886
157	0.09024038018
158	0.09006037452
159	0.08984800678
160	0.08957943512
161	0.08929068234
162	0.08909867528
163	0.08893339268
164	0.08876709043
165	0.08840412412
166	0.08824786749
167	0.08801077201
168	0.0879043667
169	0.08768976438
170	0.08755470444
171	0.08736378911
172	0.08719214651
173	0.08703011832
174	0.08687061379
175	0.08675783281
176	0.08651347106
177	0.08632300074
178	0.08616049601
179	0.0859421098
180	0.08581803003
181	0.08571638705
182	0.08555780177
183	0.08537262241
184	0.0851771489
185	0.08502870382
186	0.0848546691
187	0.08476576948
188	0.08459386858
189	0.08436594599
190	0.08422523011
191	0.08393307477
192	0.0837382488
193	0.08354276524
194	0.08339158445
195	0.08315331441
196	0.08292123407
197	0.08265952424
198	0.08252050538
199	0.08229863502
200	0.08210889583
201	0.08188596608
202	0.08167671522
203	0.08155824411
204	0.08132755086
205	0.08115039744
206	0.0809332066
207	0.08077882173
208	0.0806154317
209	0.08053409322
210	0.08041630246
211	0.08023797953
212	0.08015565628
213	0.08001778729
214	0.07986989657
215	0.07970325547
216	0.07943359115
217	0.07930797917
218	0.07911297843
219	0.07895637937
220	0.07875619173
221	0.07864467629
222	0.07845001055
223	0.07830803533
224	0.07812415033
225	0.0779577139
226	0.0778146367
227	0.07765344967
228	0.07748571968
229	0.07731034777
230	0.07718644823
231	0.07699596393
232	0.07689153078
233	0.07676476565
234	0.07663605978
235	0.07647918348
236	0.07634310303
237	0.07622667875
238	0.07607949764
239	0.07592440861
240	0.07583563299
241	0.07571208431
242	0.07562642472
243	0.07549456698
244	0.07527078914
245	0.07512896595
246	0.07487262436
247	0.07470397322
248	0.0745315094
249	0.07440975143
250	0.07431361455
251	0.07413554397
252	0.07400915624
253	0.07386541539
254	0.07371040993
