iter	Passed	Remaining
399	44815	123242
400	44901	123059
401	44968	122824
402	45067	122677
403	45150	122487
404	45248	122338
405	45361	122230
406	45392	121902
407	45441	121622
408	45494	121355
409	45536	121060
410	45609	120847
411	45673	120614
412	45728	120355
413	45783	120099
414	45845	119860
415	45917	119650
416	45962	119371
417	46009	119095
418	46055	118819
419	46095	118530
420	46140	118254
421	46179	117966
422	46216	117671
423	46254	117380
424	46280	117061
425	46324	116789
426	46376	116538
427	46440	116318
428	46469	116010
429	46503	115717
430	46534	115418
431	46574	115143
432	46618	114877
433	46650	114584
434	46691	114314
435	46729	114037
436	46764	113753
437	46800	113476
438	46833	113188
439	46872	112918
440	46913	112656
441	46950	112383
442	46986	112108
443	47023	111840
444	47056	111560
445	47092	111290
446	47127	111018
447	47163	110750
448	47213	110516
449	47247	110244
450	47291	109996
451	47328	109734
452	47367	109479
453	47400	109209
454	47443	108963
455	47480	108706
456	47523	108461
457	47559	108202
458	47589	107932
459	47624	107672
460	47658	107412
461	47689	107147
462	47716	106873
463	47756	106627
464	47793	106379
465	47826	106120
466	47858	105862
467	47890	105604
468	47923	105349
469	47995	105181
470	48051	104977
471	48115	104794
472	48217	104691
473	48279	104504
474	48349	104332
475	48436	104200
476	48487	103989
477	48572	103852
478	48668	103738
479	48695	103477
480	48764	103307
481	48813	103094
482	48847	102851
483	48884	102616
484	48915	102370
485	48945	102120
486	48976	101874
487	49006	101628
488	49036	101381
489	49066	101137
490	49102	100905
491	49136	100670
492	49178	100452
493	49209	100212
494	49240	99972
495	49268	99729
496	49302	99498
497	49347	99289
498	49386	99069
499	49424	98848
500	49453	98611
501	49481	98370
502	49508	98130
503	49540	97902
504	49570	97669
505	49598	97431
506	49628	97200
507	49663	96981
508	49699	96763
509	49726	96528
510	49755	96298
511	49786	96071
512	49824	95860
513	49855	95636
514	49889	95419
515	49925	95207
516	49954	94981
517	49989	94767
518	50025	94556
519	50067	94357
520	50106	94154
521	50139	93938
522	50172	93724
523	50205	93512
524	50241	93305
525	50272	93090
526	50316	92898
527	50353	92696
528	50383	92481
529	50415	92270
530	50440	92045
531	50482	91855
532	50520	91656
533	50553	91451
534	50590	91252
535	50632	91063
536	50674	90873
537	50731	90712
538	50772	90523
539	50820	90348
540	50854	90146
541	50894	89957
542	50922	89747
543	50965	89563
544	51001	89370
545	51029	89160
546	51066	88970
547	51102	88777
548	51145	88596
549	51181	88404
550	51208	88197
551	51234	87989
552	51269	87798
553	51304	87605
554	51339	87415
555	51367	87213
556	51396	87014
557	51433	86828
558	51461	86627
559	51487	86425
560	51522	86238
561	51560	86056
562	51601	85880
563	51636	85694
564	51689	85539
565	51744	85387
566	51780	85204
567	51822	85032
568	51873	84875
569	51909	84694
570	51949	84520
571	51990	84347
572	52029	84174
573	52089	84033
574	52130	83862
575	52156	83666
576	52184	83477
577	52220	83300
578	52246	83107
579	52298	82956
580	52332	82777
581	52371	82606
582	52404	82427
583	52449	82267
584	52493	82105
585	52530	81932
586	52569	81764
587	52604	81590
588	52640	81418
589	52700	81284
590	52733	81107
